DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,0,50000,1,650000,99999,100,100,50,2,0.5,5,-10,0.1,0,8,3,False,,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,True,SET_20250423-004900

Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
176,kein_Terminated,Zeit abgelaufen,0.2,2,2492,300.5,8,2,20250424-111843
177,kein_Terminated,Zeit abgelaufen,0.2,9,2410,300.5,8,5,20250424-111857
178,kein_Terminated,Zeit abgelaufen,0.06,241,-1754,300.5,8,5,20250424-111910
179,kein_Terminated,Zeit abgelaufen,0.19,8,2336,300.5,8,4,20250424-111925
180,kein_Terminated,Zeit abgelaufen,0.19,18,2216,300.5,8,4,20250424-111939
181,kein_Terminated,Zeit abgelaufen,0.17,9,2030,300.5,8,8,20250424-111953
182,kein_Terminated,Zeit abgelaufen,0.15,13,1686,300.5,0,1,20250424-112007
183,kein_Terminated,Zeit abgelaufen,0.16,15,1858,300.5,0,1,20250424-112021
184,kein_Terminated,Zeit abgelaufen,0.17,16,1984,300.5,0,1,20250424-112034
185,kein_Terminated,Zeit abgelaufen,0.18,11,2062,300.5,0,1,20250424-112048
186,kein_Terminated,Zeit abgelaufen,0.18,6,2128,300.5,0,2,20250424-112102
187,kein_Terminated,Zeit abgelaufen,0.16,6,1860,300.5,0,2,20250424-112116
188,kein_Terminated,Zeit abgelaufen,0.18,57,1722,300.5,0,9,20250424-112129
189,kein_Terminated,Zeit abgelaufen,0.07,12,668,300.5,0,0,20250424-112142
190,kein_Terminated,Zeit abgelaufen,0.07,0,812,300.5,0,0,20250424-112155
191,kein_Terminated,Zeit abgelaufen,0.2,77,1686,300.5,0,8,20250424-112209
192,kein_Terminated,Zeit abgelaufen,0.2,229,258,300.5,0,8,20250424-112222
193,kein_Terminated,Zeit abgelaufen,0.21,11,2546,300.5,0,1,20250424-112236
194,kein_Terminated,Zeit abgelaufen,0.19,14,2256,300.5,0,1,20250424-112250
195,kein_Terminated,Zeit abgelaufen,0.15,5,1842,300.5,0,2,20250424-112303
196,kein_Terminated,Zeit abgelaufen,0.19,9,2302,300.5,8,5,20250424-112318
197,kein_Terminated,Zeit abgelaufen,0.06,282,-2156,300.5,8,5,20250424-112331
198,kein_Terminated,Zeit abgelaufen,0.13,6,1544,300.5,8,7,20250424-112345
199,kein_Terminated,Zeit abgelaufen,0.11,2,1316,300.5,8,7,20250424-112359
200,kein_Terminated,Zeit abgelaufen,0.24,35,2630,300.5,8,1,20250424-112414
201,kein_Terminated,Zeit abgelaufen,0.17,30,1740,300.5,8,1,20250424-112427
202,kein_Terminated,Zeit abgelaufen,0.29,28,3332,300.5,8,6,20250424-112441
203,kein_Terminated,Zeit abgelaufen,0.15,1,1850,300.5,8,9,20250424-112456
204,kein_Terminated,Zeit abgelaufen,0.16,0,2016,300.5,8,9,20250424-112510
205,kein_Terminated,Zeit abgelaufen,0.17,30,1772,300.5,8,1,20250424-112524
206,kein_Terminated,Zeit abgelaufen,0.25,18,2960,300.5,8,1,20250424-112537
207,kein_Terminated,Zeit abgelaufen,0.12,5,1386,300.5,8,7,20250424-112552
208,kein_Terminated,Zeit abgelaufen,0.15,12,1744,300.5,8,7,20250424-112606
209,kein_Terminated,Zeit abgelaufen,0.15,0,1860,300.5,8,7,20250424-112620
210,kein_Terminated,Zeit abgelaufen,0.07,45,350,300.5,0,0,20250424-112633
211,kein_Terminated,Zeit abgelaufen,0.07,51,358,300.5,0,0,20250424-112646
