DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,0,50000,1,1080000,99999,100,100,50,2,300,2,0.5,5,-10,0.1,0,8,3,FALSE,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,False,SET_20250410-011939
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt,,,,,,,,,,,,,,,,,,
122,kein_Terminated,Zeit abgelaufen,0.54,87,6110,300.5,5,7,20250415-215626,,,,,,,,,,,,,,,,,,
123,kein_Terminated,Zeit abgelaufen,0.53,64,6180,300.5,5,9,20250415-215643,,,,,,,,,,,,,,,,,,
124,kein_Terminated,Zeit abgelaufen,0.47,68,5332,300.5,5,9,20250415-215659,,,,,,,,,,,,,,,,,,
125,kein_Terminated,Zeit abgelaufen,0.47,83,5270,300.5,5,2,20250415-215716,,,,,,,,,,,,,,,,,,
126,kein_Terminated,Zeit abgelaufen,0.48,132,4252,300.5,26,4,20250415-215736,,,,,,,,,,,,,,,,,,
127,kein_Terminated,Zeit abgelaufen,0.53,159,4582,300.5,26,4,20250415-215757,,,,,,,,,,,,,,,,,,
128,kein_Terminated,Zeit abgelaufen,0.54,80,5476,300.5,26,1,20250415-215818,,,,,,,,,,,,,,,,,,
129,kein_Terminated,Zeit abgelaufen,0.55,110,5340,300.5,26,1,20250415-215839,,,,,,,,,,,,,,,,,,
130,kein_Terminated,Zeit abgelaufen,0.1,276,-1708,300.5,26,0,20250415-215859,,,,,,,,,,,,,,,,,,
131,kein_Terminated,Zeit abgelaufen,0.35,176,2360,300.5,26,0,20250415-215920,,,,,,,,,,,,,,,,,,
132,kein_Terminated,Zeit abgelaufen,0.14,450,-2880,300.5,26,4,20250415-215941,,,,,,,,,,,,,,,,,,
133,kein_Terminated,Zeit abgelaufen,0.33,317,940,300.5,15,1,20250415-215958,,,,,,,,,,,,,,,,,,
134,kein_Terminated,Zeit abgelaufen,0.51,161,4730,300.5,15,1,20250415-220015,,,,,,,,,,,,,,,,,,
135,kein_Terminated,Zeit abgelaufen,0.13,301,-1482,300.5,15,0,20250415-220032,,,,,,,,,,,,,,,,,,
136,kein_Terminated,Zeit abgelaufen,0.13,259,-1078,300.5,15,0,20250415-220049,,,,,,,,,,,,,,,,,,
137,kein_Terminated,Zeit abgelaufen,0.12,482,-3420,300.5,15,8,20250415-220106,,,,,,,,,,,,,,,,,,
138,kein_Terminated,Zeit abgelaufen,0.42,253,2638,300.5,15,8,20250415-220124,,,,,,,,,,,,,,,,,,
139,kein_Terminated,Zeit abgelaufen,0.49,225,3866,300.5,15,1,20250415-220142,,,,,,,,,,,,,,,,,,
140,kein_Terminated,Zeit abgelaufen,0.36,119,3336,300.5,8,5,20250415-220159,,,,,,,,,,,,,,,,,,
141,kein_Terminated,Zeit abgelaufen,0.53,102,5708,300.5,8,5,20250415-220216,,,,,,,,,,,,,,,,,,
142,kein_Terminated,Zeit abgelaufen,0.31,146,2424,300.5,8,2,20250415-220233,,,,,,,,,,,,,,,,,,
143,kein_Terminated,Zeit abgelaufen,0.31,174,2196,300.5,8,2,20250415-220250,,,,,,,,,,,,,,,,,,
